Record Type;PO Number;PO Number2;PO Number1;Chg;Com;Type;Conf;Order Date;Buyer;Account Number;Supplier;Curr;Item;Commodity Code;Description;Qty;Un;Order Value;Amount Invoiced;;WBS Code;Contract;Remarks
ttOrder;3093/M00002;3093/M00002;3093/M00002;V001;Y;N;Y;04/08/2023;bstormon;BUNN04;Bunnings - QLD;AUD;1;MATS-001;Job Start Up Misc;1000;EA;1000;997.97;;N001070;3093;Order Complete
ttOrder;3093/M00002;3093/M00002;;;;;;;;;Bunnings - QLD;;2;MATS-001;LEVEL SPIRIT EMPIRE 1200MM DIGITAL;171.86;EA;171.86;171.86;;N001070;;
ttOrder;3093/M00003;3093/M00003;3093/M00003;V001;Y;N;Y;31/07/2023;bstormon;OFFI10;Officeworks Superstores P/L;AUD;1;MATS-001;Samsung Tablet;3;EA;1437.27;1437.27;;N002190;3093;Order Complete
ttOrder;3093/M00003;3093/M00003;;;;;;;;;Officeworks Superstores P/L;;2;MATS-001;Cases;3;EA;188.19;188.19;;N002190;;
ttOrder;3093/M00003;3093/M00003;;;;;;;;;Officeworks Superstores P/L;;3;MATS-001;Screen protectors;3;EA;106.35;106.35;;N002190;;
ttOrder;3093/M00003;3093/M00003;;;;;;;;;Officeworks Superstores P/L;;4;MATS-001;Tablet;36.36;EA;36.36;36.36;;N002190;;
ttOrder;3093/M00005;3093/M00005;3093/M00005;;Y;N;Y;04/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot;1;EA;192.6;192.6;;N003001;3093;Order Complete
ttOrder;3093/M00005;3093/M00005;;;;;;;;;Reali Supply;;2;MATS-001;Hi Vis Soft Shell Jacket with 3M Tape;1;EA;80.75;80.75;;N003001;;
ttOrder;3093/M00005;3093/M00005;;;;;;;;;Reali Supply;;3;MATS-001;Cotton Drill Taped Cargo Pants - Navy;3;EA;68.85;68.85;;N003001;;
ttOrder;3093/M00005;3093/M00005;;;;;;;;;Reali Supply;;4;MATS-001;Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy;5;EA;168.65;168.65;;N003001;;
